LINE_CHNAME,PARTICIPANT_ID,STATION_CNAME,车站编码,LINE_CHNAME
地铁1号线,41,苹果园,150995203,地铁1号线
地铁1号线,41,古城,150995204,地铁1号线
地铁1号线,41,八角游乐园,150995205,地铁1号线
地铁1号线,41,八宝山,150995206,地铁1号线
地铁1号线,41,玉泉路,150995207,地铁1号线
地铁1号线,41,五棵松,150995208,地铁1号线
地铁1号线,41,万寿路,150995209,地铁1号线
地铁1号线,41,公主坟,150995210,地铁1号线
地铁1号线,41,军事博物馆,150995211,地铁1号线
地铁1号线,41,木樨地,150995212,地铁1号线
地铁1号线,41,南礼士路,150995213,地铁1号线
地铁1号线,41,复兴门,150995214,地铁1号线
地铁1号线,41,西单,150995215,地铁1号线
地铁1号线,41,天安门西,150995216,地铁1号线
地铁1号线,41,天安门东,150995217,地铁1号线
地铁1号线,41,王府井,150995218,地铁1号线
地铁1号线,41,东单,150995219,地铁1号线
地铁1号线,41,建国门,150995220,地铁1号线
地铁1号线,41,永安里,150995221,地铁1号线
地铁1号线,41,国贸,150995222,地铁1号线
地铁1号线,41,大望路,150995223,地铁1号线
地铁1号线,41,四惠,150995224,地铁1号线
地铁1号线,41,四惠东,150995225,地铁1号线
地铁2号线,42,西直门,150995457,地铁2号线
地铁2号线,42,车公庄,150995458,地铁2号线
地铁2号线,42,阜成门,150995459,地铁2号线
地铁2号线,42,复兴门,150995460,地铁2号线
地铁2号线,42,长椿街,150995461,地铁2号线
地铁2号线,42,宣武门,150995462,地铁2号线
地铁2号线,42,和平门,150995463,地铁2号线
地铁2号线,42,前门,150995464,地铁2号线
地铁2号线,42,崇文门,150995465,地铁2号线
地铁2号线,42,北京站,150995466,地铁2号线
地铁2号线,42,建国门,150995467,地铁2号线
地铁2号线,42,朝阳门,150995468,地铁2号线
地铁2号线,42,东四十条,150995469,地铁2号线
地铁2号线,42,东直门,150995470,地铁2号线
地铁2号线,42,雍和宫,150995471,地铁2号线
地铁2号线,42,安定门,150995472,地铁2号线
地铁2号线,42,鼓楼大街,150995473,地铁2号线
地铁2号线,42,积水潭,150995474,地铁2号线
地铁4号线,44,安河桥北,150995989,地铁4号线
地铁4号线,44,北宫门,150995991,地铁4号线
地铁4号线,44,西苑,150995993,地铁4号线
地铁4号线,44,圆明园,150995995,地铁4号线
